nome,email,indirizzo,telefono,sito,rating,recensioni
Ristorante Galleria,info@ristorantegalleria.it,"Galleria Vittorio Emanuele II, 75, 20121 Milano MI, Italia",02 8646 4912,https://ristorantegalleria.it/,4.5,6206
Al Cantinone,info@alcantinone.it,"Via Agnello, 19, 20121 Milano MI, Italia",02 863015,http://www.alcantinone.it/,4.1,3841
Risoelatte Duomo,info@risoelatte.it,"Via Manfredo Camperio, 6, 20123 Milano MI, Italia",02 3983 1040,https://risoelatte.com/,4.4,3059
The Roof Milano,info@theroofmilano.com,"Piazza Giuseppe Missori, 1, 20123 Milano MI, Italia",,https://www.theroofmilano.com/,4.2,2359
Ristorante Vista Duomo,info@ristorantevistaduomo.it,"P.za del Duomo, 17/A, 20123 Milano MI, Italia",02 0996 2671,https://ristorantevistaduomo.it/,4.1,913
Nerino Dieci Trattoria,info@nerinodieci.it,"Via Nerino, 10, 20123 Milano MI, Italia",02 3983 1019,http://www.nerinodieci.it/,4.6,2883
La Locanda del Gatto Rosso,bistrot@lalocandadelgattorosso.it,"Via Ugo Foscolo, 3, 20121 Milano MI, Italia",02 7202 2411,http://www.lalocandadelgattorosso.it/,4,3112
Trattoria de la Trebia Milano,info@trattorialatrebia.it,"Via Trebbia, 32, 20135 Milano MI, Italia",02 551 3380,http://www.trattorialatrebia.it/,4.6,2024
Il Marchese Milano,prenotazionicourmayeur@ilmarchese.it,"Via dei Bossi, 3, 20121 Milano MI, Italia",02 5812 4986,https://ilmarchese.it/,4.3,920
Valentino Legend,valentinolegend@hotmail.com,"Via Agnello, 8, 20121 Milano MI, Italia",328 845 2785,http://www.valentinolegend.it/,4.4,1380
Ristorante Belé Navigli,info@beleristorante.com,"Via Angelo Fumagalli, 3, 20143 Milano MI, Italia",02 3664 2933,https://www.beleristorante.com/?utm_source=Google&utm_medium=business_maps&utm_campaign=link+site,4.5,684
OSTERIA DA FORTUNATA MILANO NAVIGLI,gruppodafortunata@gmail.com,"Via Casale, 4, 20144 Milano MI, Italia",02 4547 2283,https://www.osteriadafortunata.it/,4.4,1105
Il Principe dei Navigli,ilprincipe-010@hotmail.it,"Via Giovanni Enrico Pestalozzi, 2, 20143 Milano MI, Italia",02 8912 6248,http://ilprincipedeinavigli.it/,4.5,1849
