citta,nome,email,indirizzo,telefono,sito,amenity,cuisine
bologna,40068 Pizza & More,info@40068pizzaemore.com,"Via Carlo Iussi 34, 40068 San Lazzaro di Savena",+39 051 2842005,https://40068pizzaemore.com/,restaurant,pizza;italian;bistro
bologna,A Casa della Ross,info@acasadellaross.com,"Gardeletta 77, 40043 Bologna",+390516775386,http://www.acasadellaross.com,restaurant,
bologna,A.Ris.Bar,info@arisbar.it,"Viale Giuseppe Fanin 53, 40127 Bologna",+39 051 6330902,https://www.arisbar.it/locali/meraville/,restaurant,coffee_shop
bologna,Agriturismo Colombara,info@agriturismocolombara.it,"Via Emilia Levante 2866,  Bologna",+39 339 344 8493,https://www.agriturismocolombara.it,restaurant,
bologna,Agriturismo Isola del Sasso,info@isoladelsasso.it,"Via Gamberi 50, 40037 Sasso Marconi",+39 051 6751646,http://www.isoladelsasso.it,restaurant,regional;italian
bologna,Agriturismo Serra dei Gatti,info@agriturismoserradeigatti.it,"Via Castelnuovo 17, 40038 Vergato",+39 340 5680942; +39 349 2962084,http://www.agriturismoserradeigatti.it/,restaurant,regional
bologna,Al Cuntadein,pieromazzeo83@gmail.com,"Via Serrabella 9, 40065 Rastignano",+39 051 742886,https://www.ristorantepizzeriaalcuntadein.it/,restaurant,pizza;italian
bologna,Alleria,info@alleriaristorante.it,"Via Emilia Levante 15/d, 40139 Bologna",+390513549068,https://alleriaristorante.it,restaurant,diner;fish;friture;italian;pasta
bologna,Amerigo,info@amerigo1934.it,"Via Guglielmo Marconi 14-16, 40053 Valsamoggia",+39 051 6708326,https://amerigo1934.it,restaurant,regional
bologna,Antica trattoria al Gallo,trattoriaalgallo@gmail.com,"Via della Pace 30, 40010 Sala Bolognese",+39 051828959,https://www.trattoria-algallo.it/,restaurant,italian
bologna,Antica Trattoria del Reno,info@anticatrattoriadelreno.it,"Via del Traghetto 5/3,  Bologna",+39 376 2277824,https://www.anticatrattoriadelreno.it,restaurant,barbecue;steak_house
bologna,Baracca e Burattini,info@baraccaburattini.it,"Via Irnerio 39a, 40126 Bologna",+39 051 0140445,http://www.baraccaburattini.it/,restaurant,
bologna,Biancolatte,info@biancolatte.it,"Via dei Mille 4a, 40121 Bologna",+39 051246881,https://www.biancolatte.it/,bar,sandwich;breakfast;tea;coffee_shop
bologna,Bologna Food Gallery,bolognafoodgallery@gmail.com,"Galleria 2 Agosto 1980 7-8, 40121 Bologna",+39 345 516 9983,https://bolognafoodgallery.it/,restaurant,italian
bologna,Borgo Mameli,info@borgomameli.it,"Piazza di Porta San Felice 3, 40122 Bologna",+393701512014,https://borgomameli.it/,cafe,pizza;italian;burger
bologna,Bravo Caffè,osteriacantinone@yahoo.it,"Via Mascarella 1, 40126 Bologna",+39 051 266112,https://www.chipslab.net/page_1/index.php,bar,
bologna,C House Coffee Shop,chouse@caffe-poli.it,"Via Cristoforo Colombo 7, 40131 Bologna",+39 0510141087,https://www.chouseitalia.com/,cafe,sandwich;breakfast;tea;cake
bologna,Caffè Pathé,caffepathe@goodvibes.cloud,"Piazza Re Enzo 1, 40125 Bologna",+39 051 0069296,https://www.goodvibes.cloud/caff%C3%A8path%C3%A9,cafe,
bologna,Caffè Terzi,info@caffeterzi-bologna.com,"Via Guglielmo Oberdan 10d, 40126 Bologna",+39 051 0344819,http://www.caffeterzibologna.com,cafe,
bologna,Camera a Sud,info@cameraasud.net,"Vicolo Luretta 1a,  Bologna",+39 051 26742,https://www.cameraasud.net/,cafe,
bologna,Castiglione Pizza E Cucina,castiglionefood@gmail.com,"Via Castiglione 7f, 40124 Bologna",+39 051 4980910,https://www.ristorantecastiglione.it/,restaurant,pizza
bologna,Cesarina,info@ristorantecesarina.it,"Via Santo Stefano 19/b, 40125 Bologna",+39 051 232037,https://www.ristorantecesarina.it/,restaurant,italian
bologna,Ci.Bo',info@ciboimola.it,"Via Alcide De Gasperi 29,  Bologna",+39 333 351 6183,https://ciboimola.it,restaurant,pizza
bologna,Ciaokebab,info@ciaokebab.it,"Via Centotrecento 24, 40126 Bologna",,https://ciaokebab.com/,restaurant,kebab
bologna,Circolo Mazzini,info@circolomazzini.it,"Via Emilia Levante 6, 40139 Bologna",+39051309326,https://www.circolomazzini.it/,restaurant,regional;italian
bologna,Collywood,collywood.bologna@gmail.com,Bologna,,https://collywoodbologna.it/,restaurant,
bologna,Corte dell'Abbadessa,info@cortedellabbadessa.it,"Via Croara 7,  San Lazzaro di Savena",+393245889880,https://www.cortedellabbadessa.it/,restaurant,
bologna,Corte d’Aibo,info@cortedaibo.it,"Via Rio Marzatore 15, 40050 Valsamoggia",+39 051 832583,https://www.cortedaibo.it/,restaurant,
bologna,Cuppi's,info@cuppis.com,Bologna,+39 375 7088940,https://www.cuppis.it/,restaurant,burger;chicken
bologna,Doppio Malto,info@doppiomalto.com,"Via Malsicura 1,  Bologna",+39 0542 730197,https://www.doppiomalto.com/it/ristoranti/imola/,restaurant,burger;italian;steak_house
