citta,nome,amenity,cuisine,indirizzo,telefono,sito,email_osm,email_sito
bologna,Agriturismo Monducci,restaurant,,Bologna,+39 0546 74352,http://www.agriturismomonducci.it/,,
bologna,Pizzeria Maggi,restaurant,,"Via Montirone 32, 40019 Sant'Agata Bolognese",,http://www.locandamaggi.com/,,
bologna,Dolce e Salato,restaurant,,Bologna,,,,
bologna,La Giara,restaurant,,Bologna,,,,
bologna,Trattoria da Vito,restaurant,italian,"Via Mario Musolesi 9, 40138 Bologna",+39 051 349809,http://trattoriadavito.it/,,
bologna,Pizzeria Le Rose 2,restaurant,pizza,Bologna,,,,
bologna,Trattoria l'Angiolino,restaurant,,Bologna,,,,
bologna,Osteria Bar del Jack,restaurant,regional,"Piazza Trento Trieste 9a, 40016 San Giorgio di Piano",+39 051 6630600,https://osteriabardeljack.it/,,
bologna,Agriturismo Aia Cavicchio,restaurant,,Bologna,,,,
bologna,Antico Stradello 1810,restaurant,pizza;regional,"Via Roma 1, 40050 Loiano",,,,
bologna,Circolo Mazzini,restaurant,regional;italian,"Via Emilia Levante 6, 40139 Bologna",+39051309326,https://www.circolomazzini.it/,info@circolomazzini.it,
bologna,Ristorante Cinese Naturale,restaurant,chinese,Bologna,,,,
bologna,Trattoria dal Piccolo,restaurant,regional,"Via Guardia Nazionale 9, 40017 San Giovanni in Persiceto",+39 051 821954,https://www.trattoriadalpiccolo.com/,,
bologna,La Terrazza,restaurant,italian;pizza,"Via Mongardino 28, 40037 Sasso Marconi",+39 051 6755203,,,
bologna,Pizza e Pizza,restaurant,pizza,"Viale Andrea Costa 56, 40026 Imola",,,,
bologna,Osteria dell'Anna,restaurant,,Bologna,,,,
bologna,Antica Trattoria La Grotta,restaurant,regional,"Via Tignano 3,  Sasso Marconi",,,,
bologna,il barone rosso,restaurant,pizza,Bologna,,,,
bologna,Trattoria Gigina,restaurant,,Bologna,,,,
bologna,La Pallida Luna,restaurant,,Bologna,,,,
bologna,La Palazzina,restaurant,pizza,"Via Porrettana ,  Bologna",,,,
bologna,La Fattoria,restaurant,pizza,Bologna,,,,
bologna,Sakura,restaurant,sushi;japanese;chinese,"Via Altedo 1679,  Bologna",,,,
bologna,ye San Lazzaro,restaurant,japanese;cinese,"Via Emilia 169c, 40068 San Lazzaro di Savena",+39 051 014 0311,https://it-it.facebook.com/Yeristorantesanlazzaro/,,
bologna,Casa Monica,restaurant,,Bologna,,,,
bologna,Pizzeria Totò,restaurant,,Bologna,,,,
bologna,Osteria Baldini Marta,restaurant,regional,Bologna,,,,
bologna,Ristorante El Greco,restaurant,greek,Bologna,+39 051 369695,,,
bologna,Ristorante Pizzeria Da Pino,restaurant,pizza,Bologna,,,,
bologna,Franco Rossi,restaurant,regional,"Via Goito 3, 40126 Bologna",,,,
bologna,Cà Gabrielli,restaurant,,Bologna,+39 0534 54049,https://www.agriturismo-cagabrielli.it/,,
bologna,Scalinatetella,restaurant,pizza;italian,"Via Caduti di Cefalonia 5, 40125 Bologna",,,,
bologna,La Lucciola,restaurant,pizza,Bologna,,,,
bologna,Al Cuntadein,restaurant,pizza;italian,"Via Serrabella 9, 40065 Rastignano",+39 051 742886,https://www.ristorantepizzeriaalcuntadein.it/,pieromazzeo83@gmail.com,
bologna,Ristorante Senafe,restaurant,african,"Via Nicolò dall'Arca 42a, 40129 Bologna",+39 051 459 9558,https://ristorantesenafe.it/,ristorantesenafe@gmail.com,
bologna,Sultan,restaurant,indian,Bologna,,,,
bologna,Osteria la Petroniana,restaurant,regional,"Via dell'Artigiano 14/2,  Bologna",+393713141250,,,
bologna,Seigarden,restaurant,chinese;japanese,"Via 2 Agosto 1980 33, 40016 San Giorgio di Piano",,https://seigarden.it/,,
bologna,Trattoria Cà del Vento,restaurant,italian,Bologna,,,,
bologna,Agriturismo Farneto,restaurant,,Bologna,,,,
bologna,Osteria da Cesare,restaurant,,"Via Giuseppe Tanari 5418,  Bologna",+39 051 941202,https://www.osteriadacesare.it/ristorante-osteria-cucina-emiliana.html,info@osteriadacesare.it,
bologna,Azienda Agrituristica Dulcamara,restaurant,,Bologna,,,,
bologna,Osteria Cicceria,restaurant,,Bologna,,,,
bologna,La Vecia Ustari dl'Umarein,restaurant,regional,"via Carline 43,  Bagno di Piano",+39051955137,,,
