citta,nome,amenity,cuisine,indirizzo,telefono,sito,email_osm,email_sito
firenze,"Circolo ARCI ""Stella Rossa""",bar,,Firenze,,,,
firenze,Circolo La Loggia,bar,,Firenze,,,,
firenze,Bar Dallapé,bar,,Firenze,,,,
firenze,Bareostato,bar,,Firenze,,,,
firenze,Ruby BEA,bar,,Firenze,,,,
firenze,Cantinetta da Verrazzano,bar,,"Via dei Tavolini ,  Firenze",,,,
firenze,Circolo ARCI,bar,,Firenze,,,,
firenze,Circolo ACLI,bar,,Firenze,,,,
firenze,Circolo Montigiano,bar,,Firenze,,,,
firenze,Casa del Popolo,bar,,Firenze,,,,
firenze,Briciolo,bar,,Firenze,,,,
firenze,Circolo Arci Babilonia,bar,,Firenze,,,,
firenze,Bar/ Gelateria Pimpina,bar,,Firenze,,,,
firenze,Casa del Combattente,bar,,Firenze,,,,
firenze,Circolo Ricreativo Culturale,bar,,Firenze,,,,
firenze,Circolo ARCI La Ciurma,bar,,Firenze,,,,
firenze,Moka Efti - Tabaccheria n. 71,bar,coffee_shop,"Via Francesco Puccinotti 28 rosso, 50129 Firenze",+39 055 490338,,,
firenze,Casa del Popolo di Grassina,bar,,Firenze,,,,
firenze,Zoe Bar,bar,,"Via dei Renai 13 R, 50125 Firenze",,https://zoefirenze.com,,
firenze,Bar Alimentari,bar,,Firenze,,,,
firenze,Società filarmonica Giuseppe Verdi,bar,,Firenze,,,,
firenze,One Eyed Jack,bar,,"Piazza Nazario Sauro 2 R, 50124 Firenze",+39 055 0944561,,,
firenze,Brunellesco,bar,,Firenze,,,,
firenze,I visacci,bar,,Firenze,,,,
firenze,Bar 16,bar,,Firenze,,,,
firenze,Cotton bar,bar,,Firenze,,,,
firenze,Bar la Posta,bar,,Firenze,,,,
firenze,Catania,bar,,Firenze,,,,
firenze,Circolo Arci Le due strade,bar,,Firenze,,,,
firenze,Rex,bar,,"Via Fiesolana 25r,  Firenze",,,,
firenze,Casa del Popolo,bar,,"Via di Ugnano ,  Firenze",,,,
firenze,hidron,bar,,Firenze,,,,
firenze,Pasticceria - Caffè - Gelateria SALTINO,bar,,Firenze,,,,
firenze,Circolo SMS Quarate,bar,,"Via di Tizzano 182, 50012 Firenze",,,,
firenze,sexy bar,bar,,Firenze,,,,
firenze,Antica Sosta degli Aldobrandini,bar,,"Piazza Madonna degli Aldobrandini 5, 50123 Firenze",+39 329 226392,,,
firenze,Bar Gelsa,bar,,"Via Valdinievole ,  Firenze",,,,
firenze,Bar Marisa,bar,,Firenze,,,,
firenze,Chalet Raticosa,bar,,Firenze,,,,
firenze,Gustò,bar,,Firenze,,,,
firenze,Bar Sport,bar,,Firenze,,,,
firenze,Tenax,bar,,Firenze,,,,
firenze,Manifattura Bar,bar,,"Piazza San Pancrazio 1 R,  Firenze",,,,
firenze,Oibo,bar,,"Borgo dei Greci 1,  Firenze",,,,
firenze,The Stellar Ristorante e Cocktail Bar,bar,italian,"Piazza di Cestello 10, 50124 Firenze",,,,
firenze,Miro,bar,,"Via dei Benci 14 R,  Firenze",,,,
firenze,Babae,bar,,"Via di Santo Spirito 21R,  Firenze",,,,
firenze,Il Ghiottone,bar,,"Piazza di San Iacopino 25 R,  Firenze",,https://www.facebook.com/barghiottone.sanjacopino.1,,
firenze,Bitter Bar,bar,,"Via di Mezzo 28,  Firenze",,,,
firenze,Bar Lanbertesca,bar,,"Chiasso dei Baroncelli 3 R,  Firenze",,,,
firenze,Kikuya,bar,,"Via dei Benci 43 R,  Firenze",,,,
firenze,Enoteca Bellini,bar,italian,"Via della Spada 52 R,  Firenze",,,,
firenze,Enoteca Bevovino,bar,,"Via di San Niccolò 59 R,  Firenze",,,,
firenze,Sabor Cubano,bar,,"Via Sant'Antonino 64 R,  Firenze",,,,
firenze,Amblé,bar,,"Piazzetta dei Del bene 7a,  Firenze",,,,
firenze,Casa del Popolo,bar,,Firenze,,,,
firenze,Circolo M.C.L.,bar,,Firenze,,,,
firenze,Luci,bar,,Firenze,,,,
firenze,Lido Serena,bar,,Firenze,,,,
firenze,Il Bivio,bar,,Firenze,,,,
firenze,Nonsolobar,bar,,"Via Marsala 17, 50019 Sesto Fiorentino",,,,
firenze,Bar Giacomelli Simone & C.,bar,,Firenze,+39 055 892474,,,
firenze,Bar La Bottega di Giò,bar,,Firenze,+39 055 8960924,,,
firenze,Bar Primavera,bar,,Firenze,+39 055 8951001,,,
firenze,La Dolceria,bar,,Firenze,+39 055 891936,,,
firenze,Liquoreria della Certosa,bar,,"Via della Certosa 1, 50124 Firenze Galluzzo",,,,
firenze,Il nuovo molino,bar,,"Via Pietro Mascagni 51;53, 50041 Calenzano",,,,
firenze,Circolo Arci Il Molino,bar,,"Via delle Scuderie 9, 50041 Calenzano",,,,
firenze,Bar Centrale Lilly,bar,ice_cream,"Via Roma 8,  Firenze",+39 055 804 6002,,,
firenze,Pasticceria Ripa,bar,,Firenze,,,,
firenze,Ciuco Briaho,bar,,"Via dei Cappuccini , 50053 Empoli",,,,
firenze,Bar Ariston,bar,,"Via del Palazzo , 50059 Spicchio",,,,
firenze,Bar,bar,,"Lungarno Aldo Moro ,  Firenze",,,,
firenze,Bar al Teatro,bar,,Firenze,,,,
firenze,Bar Uffizi,bar,,Firenze,,,,
firenze,Il ricettario,bar,,Firenze,,,,
firenze,Quelli del Bar,bar,,Firenze,,,,
firenze,Al Bar,bar,,"Viale dell'Albereta ,  Firenze",,,,
firenze,Bar Azeglio,bar,,Firenze,,,,
firenze,Bar Azzurro,bar,,Firenze,,,,
firenze,Vinegar American Bar,bar,,Firenze,,,,
firenze,Enoteca V'Incanto,bar,,Firenze,,,,
firenze,I'Chicco,bar,,Firenze,,,,
firenze,DLF,bar,,Firenze,,,,
firenze,Gelateria Malotti,bar,,"Piazza Cavour 14, 50018 Scandicci",,,,
firenze,ARCI Casa del Popolo di Settignano,bar,,"Via di San Romano 1, 50135 Firenze",,,,
firenze,Circolo ARCI di Fiesole,bar,,Firenze,,,,
firenze,Procacci,bar,,"Via dei Tornabuoni 64 R, 50123 Firenze",,,,
firenze,Bar Casa Rossa,bar,,Firenze,,,,
firenze,Circolo Arci Il Girone,bar,,Firenze,,,,
firenze,Botteghina della Nonna Nina,bar,,Firenze,,,,
firenze,All'Estremo,bar,,Firenze,,,,
firenze,Black Bar,bar,,Firenze,,,,
firenze,Snack Bar La Badia,bar,,Firenze,,,,
firenze,Bar Centrale,bar,,Firenze,,,,
firenze,Bistrot74,bar,,Firenze,,,,
firenze,Bar Supremo,bar,,"Via Roma ,  Bagno a Ripoli",,,,
