citta,nome,amenity,cuisine,indirizzo,telefono,sito,email_osm,email_sito
milano,La Mela Bianca,restaurant,italian;pizza,Milano,,,,
milano,Alice pizza,fast_food,pizza,"Viale Sabotino 38, 20122 Milano",,,,
milano,Da Marco,restaurant,pizza,"Via Rovereto 1, 20127 Milano",,,,
milano,Trattoria Caprese,restaurant,pizza,"Via Marghera 37, 20149 Milano",,,,
milano,Fabbrica,restaurant,pizza,"Alzaia Naviglio Grande 68,  Milano",+39 02 8358297,https://www.fabbricapizzeriamilano.com/,,
milano,Il nano pazzo,fast_food,pizza,Milano,,,,
milano,Il Focolare,fast_food,pizza,Milano,,,,
milano,Ristorante Bande Nere,restaurant,italian;pizza,"Piazzale Giovanni delle Bande Nere 9, 20146 Milano",+393396755915,https://pizzeria-ristorante-bande-nere.business.site/,,
milano,Bar Baldassarre,cafe,pizza;regional;chicken;italian,"Via Ruggero Boscovich 22, 20124 Milano",,,,
milano,Lo Scoglio sul Naviglio,restaurant,pizza;italian;mediterranean;egyptian,"Via Lodovico il Moro 55, 20143 Milano",+39 02 8912 3908,,,
milano,Cicciopizza,restaurant,pizza,Milano,,,,
milano,Pizzeria Piccola Ischia,restaurant,pizza,"Viale Umbria 60,  Milano",,,,
milano,Sacicce & Friarielli,fast_food,pizza,"Viale Enrico Pedretti 17, 20095 Cusano Milanino",,,,
milano,Bube,restaurant,italian;pizza,"Viale Cooperazione 23, 20095 Cusano Milanino",,,,
milano,I Tre Gradini,restaurant,italian;pizza,"Via Carlo Sormani 47, 20095 Cusano Milanino",+39 02 6196242,,itregradini@gmail.com,
milano,Bar Cassis,restaurant,pizza,Milano,,,,
milano,Il Cerchio,restaurant,pizza;italian,"Viale Cooperazione 8, 20095 Cusano Milanino",+39 02 619 7728,,,
milano,Pizzeria Anacapri,restaurant,pizza,"Via Ginestra 2, 20095 Cusano Milanino",+39 02 6194650,http://www.anacapri.mi.it/index_file/Page387.htm,pizzeria@anacapri.mi.it,
milano,Only Meat,restaurant,italian;pizza,"Viale Margherita 18, 20095 Cusano Milanino",,,,
milano,Pizzeria Primavera,fast_food,pizza;kebab,Milano,,,,
milano,Griglieria Pizzeria La Brace,restaurant,italian;pizza,Milano,,,,
milano,Pizza e Kebab,fast_food,pizza;kebab,Milano,,,,
milano,Pizzeria San Pietro,fast_food,pizza,"Viale Enrico Pedretti 1b, 20095 Cusano Milanino",+39 02 66401039,,,
milano,Mister Pizza,fast_food,kebab;pizza,"Via Alessandro Manzoni 1, 20095 Cusano Milanino",+39 02 61359421,,,
milano,La Sfinge,fast_food,pizza;kebab,"Via Venticinque Aprile 171, 20092 Cinisello Balsamo",+39 02 6123841,,,
milano,Pizzeria Dragoon,restaurant,pizza,Milano,,,,
milano,Al Vesuvio,fast_food,pizza,Milano,,,,
milano,Ristorante Pizzeria Pietra Bianca,restaurant,italian;pizza,"Via Antonio Cantore 43, 20092 Cinisello Balsamo",,,,
milano,Pizzeria Arcobaleno,restaurant,pizza;ice_cream,Milano,,,,
milano,San Giorgio,restaurant,pizza,Milano,,,,
milano,Don Raffaele,restaurant,pizza,"Via Roncaglia 3, 20146 Milano",,https://www.donraffaele.it/,,
milano,Mammina,restaurant,pizza,"Largo La Foppa 1, 20121 Milano",+39 02 98041961,,,
milano,Assaje,restaurant,pizza,"Largo La Foppa 1, 20121 Milano",+39 02 5812 9363,,milano.lafoppa@assaje.it,
milano,Pepe Nero,restaurant,pizza,"Viale Umbria 11, 20135 Milano",,www.pepeneromilano.it,,
milano,Carmen 2,restaurant,italian;pizza;regional,"Via Bonaventura Zumbini 46,  Milano",+39 02 89122085,https://ristorantepizzeriacarmen2.eatbu.com/,,
milano,Il Mago,fast_food,pizza,"Via Modica 1, 20143 Milano",,,,
milano,Il Diamante 2 - Ristorante Grill Pizzeria,restaurant,pizza,Milano,,https://www.ristoranteildiamante2.com/,,
milano,Tutta 'Nata Storia,restaurant,pizza,"Via Giuseppe Meda 43, 20141 Milano",+39 02 8464137,,tuttanatastoria.pizzeria@gmail.com,
milano,Charlie Brown,fast_food,pizza;kebab,"Via Milano 14, 20021 Bollate",+3902 350 6190,,,
milano,Fresco,restaurant,italian_pizza;italian,"Corso Sempione 41, 20145 Milano",+39 02 3311888,https://www.frescotrattoria.it/fresco-sempione-milano/,milanosempione@frescotrattoria.it,
milano,Zuma a Lenga,restaurant,pizza,Milano,,,,
milano,Pizzeria G&G,restaurant,pizza,Milano,+39 02 33200311,,,
milano,Sfizio di pizza,fast_food,pizza;sandwich;friture;dessert;salad,"Via Roma 1, 20031 Cesate",,,,
milano,Passaparola,fast_food,kebab;pizza,"Via dei Martiri 5, 20031 Cesate",+39029941054,,,
milano,Pizzeria Kebab,fast_food,pizza,Milano,,,,
milano,Napoleone,restaurant,pizza;italian,Milano,,,,
milano,Da Zio Mario,restaurant,italian_pizza,"Via San Bartolomeo 2, 20023 Cantalupo",+39 0331 533437,,,
milano,Pizzeria Oasi,restaurant,italian;italian_pizza,"Via Risorgimento 2, 20023 Cantalupo",+39 0331 535558,,,
milano,Mediterranea Di Lanteri Strati Renato Giuseppe,fast_food,pizza,"Via Fiume 18, 20080 Vermezzo",+39 02 94941292,,,
milano,Pizzeria Oceania,restaurant,pizza,Milano,,,,
milano,Pizzeria Mare Chiaro,restaurant,pizza;kebab,Milano,,,,
milano,Cotica,restaurant,pizza,"Via Giulio Natta 20, 20151 Milano",+39 02 33491083,,,
milano,Skipper,fast_food,pizza,Milano,+39 02 6152291,,,
milano,l'Arca,restaurant,pizza,"Via Carlo Osma 5, 20151 Milano",+39 023083111,,,
milano,La Pergola 2,restaurant,italian;pizza,"Via dei Giovi 151,  Cormano",+39 02 6630 7475,https://lapergola2.com,,
milano,Pizzeria da Totò,restaurant,pizza,Milano,,,,
milano,Ristorante Pizzeria Bar Italo-Cinese,restaurant,chinese;italian;pizza,Milano,,,,
milano,Pizza e Mozzarella,restaurant,pizza,"Via Carlo Torre 22/b, 20143 Milano",,https://www.pizzaemozzarella.it/,,
milano,Pop Up,restaurant,pizza,"Via Luigi Cagnola 9, 20154 Milano",,,,
milano,Ristorante Pizzeria Mareblu,restaurant,pizza;seafood,"Via Dante Alighieri 24, 20025 Legnano",+39 0331 546286,http://www.ristorantepizzeriamareblu.com/,mareblu24@hotmail.it,
milano,L'angolo della Pizza,restaurant,pizza,"Via Sempione 152,  Pero",,,,
milano,Pizzeria da Lioniell,restaurant,pizza,Milano,+39 02 72199211,,,
milano,La nuova forchetta,restaurant,pizza,Milano,,,,
milano,Vac è Press,restaurant,pizza,"Piazza Carlo Fontana 3, 20013 Magenta",,,,
milano,Il glicine,restaurant,barbecue;italian;pizza;local,"Via Sant'Anna 12,  Milano",+39 029470783,https://www.osteriailglicine.net/,,
milano,Pizza Inn,fast_food,pizza,Milano,,,,
milano,Alice,fast_food,pizza,"Via Vigevano 43, 20144 Milano",+390242101151,https://www.alicepizza.it/store/alice-porta-genova/,,
milano,Pizzeria La Terrazza,restaurant,italian_pizza,Milano,+390290605297,https://www.pizzerialaterrazza.eu/,,
milano,The king,restaurant,pizza;regional;burger;friture,"Via Wolfang Amadeus Mozart 1, 20021 Bollate",,https://pizzeriatheking.eatbu.com/,,
milano,Pizzeria La Grande Mela,restaurant,pizza,"Via Ventinove Maggio 110, 20025 Legnano",,,,
milano,San Giovanni 2,restaurant,italian;pizza,Milano,,,,
milano,Montegrigna,restaurant,pizza;italian,"Via Grigna 10, 20025 Legnano",+39 0331 546173,,,
milano,Ristorante Lin,restaurant,chinese;japanese;pizza,"Via della Liberazione 5, 20025 Legnano",,,,
milano,L'altra Botte,restaurant,pizza;seafood;meat,"Via Mauro Venegoni 84, 20025 Legnano",+39 0331 592217,http://www.ristorantealtrabotte.com/,info@ristorantealtrabotte.com,
milano,Il Palio,restaurant,italian;italian_pizza,"Via Barbara Melzi 96, 20025 Legnano",+39 0331 547340,https://ristoranteilpalio.it/,info@ristoranteilpalio.it,
milano,La Conchiglia,restaurant,pizza;italian;fish;meat,"Via Cesare Battisti 52, 20025 Legnano",+39 0331 440200,https://laconchigliadilegnano.eatbu.com/,,
milano,Garden,restaurant,kebab;pizza,"Corso Sempione 236, 20025 Legnano",,,,
milano,Il Comignolo,fast_food,pizza,"Via Simone Saint Bon 38, 20147 Milano",,,,
milano,II Principe dei Navigli,restaurant,italian;pizza,"Via Giovanni Enrico Pestalozzi 2, 20143 Milano",+39 02 89126248,http://ilprincipedeinavigli.it/,ilprincipe-010@hotmail.it,
milano,Med & Lory pizzeria d'asporto,fast_food,pizza,Milano,+39 02 6184631,,,
milano,La Magolfa,restaurant,pizza,"Via Magolfa 15, 20143 Milano",+39 02 8321696,http://www.lamagolfa.it/,,
milano,Il Volo,restaurant,italian;pizza,Milano,,,,
milano,Pizza Tris,fast_food,pizza,Milano,+39 02 61420038,,,
milano,I Capatosta Navigli,restaurant,pizza,"Alzaia Naviglio Grande 56, 20144 Milano",+39 02 8941 5910,https://www.icapatosta.it,,
milano,Da Pipo,fast_food,pizza,Milano,+39 02 66303222,,,
milano,Charlie Brown 2,fast_food,pizza;kebab,Milano,+39 02 66301864,,,
milano,Pizzeria Martesana,restaurant,pizza,"Via Policarpo Petrocchi 34, 20127 Milano",,,,
milano,La Scalea,restaurant,pizza,"Via Monte San Gabriele 4, 20127 Milano",,,,
milano,Mela Rossa,restaurant,pizza,"Via Piero della Francesca 38, 20154 Milano",,,,
milano,Nizza 2,restaurant,pizza;italian,"Via Angelo Moro , 20097 San Donato Milanese",,,,
milano,Spontini,restaurant,pizza,"Via Gaspare Spontini 4, 20131 Milano",,,,
milano,La Teglia 3,restaurant,italian;pizza,Milano,,,,
milano,Pizzeria La Favola,fast_food,pizza,Milano,,,,
milano,PizzaBig,restaurant,pizza,"Viale Brianza 30,  Milano",,,,
milano,Oasi Rosa,restaurant,italian;pizza,"Via Pietro Panzeri 30, 20019 Settimo Milanese",+39023284805;+390233500768,https://oasirosa.it/,,
milano,Pizzeria da Carmen,restaurant,pizza,Milano,,,,
milano,California,restaurant,burger;pizza,Milano,,,,
milano,Kimos Pizza,fast_food,pizza,"Via Bruno Cassinari , 20138 Milano",,,,
milano,Pizzeria Santa Giulia,restaurant,pizza;italian,"Via Francesco Pizzolpasso 1, 20138 Milano",+39 0251630051,,,
milano,Chalet San Carlo,restaurant,pizza;fish,Milano,,,,
milano,Istanbul Mamo,fast_food,kebab;pizza,"Via delle Forze Armate 212, 20152 Milano",+39 02 39521492,,,
milano,Pizzeria Da Pino,restaurant,pizza,"Viale Fulvio Testi 78, 20126 Milano",+39 02 642 8465,,,
milano,Pizzeria Pratocentenaro,restaurant,pizza,"Via Cino da Pistoia 18, 20162 Milano",,,,
milano,Al Desiderio,restaurant,pizza;japanese;italian,"Viale Fulvio Testi 58, 20125 Milano",+39 02 6471173,http://www.ristorantealdesiderio.it/,RISTORANTEALDESIDERIO@GMAIL.COM,
milano,Pizzeria-élite Pasqualino Rossi,restaurant,pizza,"Via Tortona 21, 20144 Milano",,,,
milano,L'Angolo,restaurant,italian;pizza,"Via dei Mille 28, 20056 Trezzo sull'Adda",+39 02 8494 2206,https://www.ristorantelangolo.it/,info@ristorantelangolo.it,
milano,Forno Antico,restaurant,pizza,"Viale Corsica 73, 20133 Milano",+39 02 70102144,https://fornoantico.eatbu.com,pizzeriafornoantico@gmail.com,
milano,Piccola Ischia,restaurant,pizza,Milano,,,,
milano,Il Postino,restaurant,pizza,"Via Edoardo Bassini 41,  Milano",,,,
milano,Maitò,restaurant,italian;pizza,"Piazzale Susa 7, 20133 Milano",+39 02 70106788,,,
milano,Pupiricchiello,restaurant,pizza,"Piazzale Giovanni delle Bande Nere 9, 20146 Milano",+39024075770,http://pupirichiello.it/,pupirichiello@gmail.com,
milano,Alice,fast_food,pizza,"Via San Vittore 1, 20123 Milano",+39 02 40703328,,,
milano,Da Gennaro,restaurant,pizza,"Via Antonio Gramsci 23, 20037 Milano",+390268859951,,,
milano,Portavene (?),restaurant,pizza,Milano,,,,
milano,Pizzeria Fantaghirò,fast_food,pizza,Milano,,,,
milano,Il Farinone,fast_food,pizza,"Via Bruno Buozzi 60, 20037 Paderno Dugnano",,,,
milano,Pizza House 2,fast_food,pizza;burger;kebab;salad;fish_and_chips,"Via Gaspare Rotondi 75, 20037 Paderno Dugnano",,,,
milano,Pizzeria Anna,restaurant,pizza,"Via Carlo Barlassina 8, 20041 Bussero",+390295039140,,,
milano,Papillon,fast_food,pizza,"Piazza Alcide De Gasperi 5, 20041 Bussero",,,,
milano,Pizzeria Di Gennaro,restaurant,italian;pizza,"Via Santa Radegonda 14, 20121 Milano",,,,
milano,La Giovanna,restaurant,italian;pizza,Milano,,,,
milano,Saya Pizza,restaurant,pizza,"Via Vetere 12, 20123 Milano",,,,
milano,Tre Colori,restaurant,pizza,Milano,,,,
milano,Weekend,restaurant,pizza,Milano,,,,
milano,Kunzi,,pizza,Milano,,,,
milano,Denis Milano Ravizza,restaurant,pizza,"Via Carlo Ravizza 8, 20149 Milano",,https://denispizza.it/,,
milano,La Cuccuma,restaurant,pizza,"Via Giovanni Pacini 26, 20131 Milano",+39 02 2664945,http://www.lacuccuma.it/,,
milano,Rossopomodoro,restaurant,pizza;seafood,"Strada provinciale exSS415 Paullese , 20097 San Donato Milanese",,,,
milano,Pizza & Pizza,restaurant,pizza,Milano,+39 02 45474102,,,
milano,La Brusada,restaurant,pizza,Milano,,,,
milano,Due Chef,restaurant,regional;pizza;italian_pizza;italian,"Viale Monza 92, 20127 Milano",+39 02 2871237,http://www.ristoranteduechef.it/,,
milano,Cortevecchia,restaurant,pizza;italian,"Via Giacomo Matteotti 8, 20044 Arese",+39029380478,https://cortevecchiaarese.it/,,
milano,Al 115,restaurant,pizza,"Piazza Vigili del Fuoco 4, 20134 Milano",,https://www.ristoranteal115.com/,,
milano,La Mucca Capricciosa,restaurant,steak_house;pizza,Milano,,,,
milano,Dallo Zio,restaurant,pizza,Milano,+39 02 26412365,,,
milano,Pizzeria Elsa,restaurant,pizza;coffee_shop,"Piazzale Egeo 9, 20126 Milano",,,,
milano,Pizzaclub,restaurant,pizza,Milano,,,,
milano,Turkish Cormano,fast_food,kebab;pizza,"Via dei Giovi 142, 20032 Cormano",,,,
milano,Il Pescatore,restaurant,italian;pizza,Milano,,,,
milano,Su Barrile,restaurant,grill;italian;italian_pizza;mediterranean;pizza,"Via Pellegrino Rossi 87, 20161 Milano",,,,
milano,Bella Alice,restaurant,pizza;kebab,Milano,,,,
milano,Pizzeria Capitan Uncino,restaurant,pizza,Milano,,,,
milano,Pizz Art da Gimmy,restaurant,pizza,Milano,,,,
milano,Pizzeria Marina,restaurant,pizza,Milano,,,,
milano,Beato Te,restaurant,italian;pizza,"Via Sant'Anatalone 16, 20147 Milano",+39 02 84571533,https://beatotemilano.it,beatote@ristorantebeatote.it,
milano,Rovereto,restaurant,pizza:italian,"Viale Monza 82,  Milano",,,,
milano,Casa Sorbillo,fast_food,pizza,Milano,,,,
milano,Il riccone,restaurant,italian;chinese;pizza,Milano,,,,
milano,Istanbul Bosforo,fast_food,pizza;kebab,"Via Libertà 76, 20092 Cinisello Balsamo",+39 02 36558430,,,
milano,Pizzeria Fantasy,fast_food,pizza,"Via Armando Diaz 5, 20090 Cesano Boscone",,,,
milano,Pizzeria Naviglio,restaurant,kebab;pizza,"Ripa di Porta Ticinese 21, 20143 Milano",,,,
milano,Capuano's,restaurant,italian;pizza;regional,"Via Pietro Orseolo 1, 20144 Milano",+390236576140,https://capuanos.it/,,
milano,Pizzeria Tradzionale Trattoria,restaurant,pizza;regional,"Ripa di Porta Ticinese 7, 20143 Milano",+39028395133,https://www.pizzeriatradizionale.com/,crm-srl@libero.it,
milano,La Tradizionale,restaurant,pizza;italian,"Via Bergognone Da Fossano 16, 20144 Milano",+390242292026,https://www.latradizionale.com/,Info@latradizionale.com,
milano,Spontini,restaurant,pizza,"Viale Papiniano 43, 20123 Milano",+390283660098,https://spontinimilano.com/pizzerie/MILANO-PAPINIANO/,,
milano,Time Out 2,restaurant,pizza,Milano,,,,
milano,Trieste,restaurant,pizza,"Via Trieste 23, 20097 San Donato Milanese",,,,
milano,Break Time,restaurant,pizza,"Corso Lodi 112,  Milano",,,,
milano,Mediterraneo,restaurant,pizza,"Piazza Pietro Gobetti 6, 20131 Milano",,,,
milano,Panificio Danelli,cafe,breakfast;pizza;sandwich,"Piazza Pietro Gobetti 8, 20131 Milano",+39 02 7060 0964,,,
milano,Ristorante Giardino d'Asia,restaurant,chinese;pizza,"Piazza Antonio Gramsci 46, 20092 Cinisello Balsamo",,,,
milano,La pizza dal 1964,restaurant,pizza,Milano,,,,
milano,Rocking Horse,restaurant,italian;pizza,"Corso Como 12, 20154 Milano",,,,
milano,Stella Marina,restaurant,fish;pizza,"Viale Famagosta 31, 20142 Milano",,https://stella-marina-restaurant-milano.eatbu.com/,,
milano,Flash,restaurant,pizza;italian,"Via Bergamini 1, 20122 Milano",+39 02 5830 4489,,,
milano,Chik,cafe,ice_cream;pizza,"Via Carlo Sormani 35, 20095 Cusano Milanino",,,,
milano,Il Gallo,restaurant,italian;pizza,"Via Fratelli Picardi 205, 20099 Sesto San Giovanni",,,,
milano,Pizzeria San Giorgio,restaurant,pizza,"Via privata della Torre 36,  Milano",+390236507560,,,
milano,Spontini,fast_food,pizza,"Via Santa Radegonda 11, 20121 Milano",,http://pizzeriaspontini.it,,
milano,Sorbillo Gourmand,restaurant,pizza,"Via Montevideo 4, 20144 Milano",,,,
milano,Mozzarella e basilico,restaurant,pizza;italian,"Piazzetta Pattari 4, 20122 Milano",+39 02 8909 2613,,,
milano,Ristorante Replay,restaurant,pizza;italian,"Piazzetta Pattari 1, 20122 Milano",,,,
milano,Ciao Pizza,fast_food,pizza,"Via Santa Radegonda 16, 20121 Milano",,,,
milano,Cocciuto,restaurant,pizza,"Via Gian Carlo Passeroni 2, 20135 Milano",+39 02 3652 1500,,,
milano,Mamma Farina,restaurant,pizza,"Via Valtorta 44, 20127 Milano",+39 02 43129037,https://www.mammafarina.com/,,
milano,Istanbul Ayasofia,fast_food,kebab;turkish;pizza,"Viale Monza 114,  Milano",,,,
milano,Amici della pizza,restaurant,pizza,Milano,,,,
milano,Pizzeria Karinans,restaurant,kebab;pizza,"Piazzale Susa 7, 20133 Milano",+39 02 70123801,,,
milano,O' Peperino e Milano,restaurant,pizza;italian;regional,"Viale Francesco Crispi , 20121 Milano",+39 02 63793078,http://www.peperinomilano.it,info@peperinomilano.it,
milano,Il Tavolino,restaurant,pizza;regional,"Via Gustavo Fara 23, 20124 Milano",+39 02 6703520,http://www.altavolino.it/,info@altavolino.it,
milano,Pizza Italiana,restaurant,kebab;pizza,"Via Giulio Tarra 6, 20124 Milano",+39 02 3954 3711,,,
milano,Pizzeria alla fontana,restaurant,italian;pizza,Milano,,,,
milano,Gino Sorbillo,restaurant,pizza,"Via Pietro Borsieri 25, 20159 Milano",,,,
milano,Ristorante Pizzeria Notre Dame,restaurant,pizza,"Via Jacopo Dal Verme 11, 20159 Milano",,http://www.ristorantepizzerianotredame.it/,,
milano,Futura,restaurant,pizza,"Via Pietro Borsieri 28, 20159 Milano",,https://futurapizzeria.com/,,
milano,Bio Pizza,restaurant,pizza,Milano,+39 02 86452131,,info@biopizzamilano.it,
milano,Little Italy Pizza,restaurant,pizza,"Via Pietro Borsieri 5, 20159 Milano",+39 02 6901 6034,https://littleitalyborsieri.cristianoandpartners.it/,,
milano,Panino Lab Isola,restaurant,pizza,"Via Carmagnola 13, 20159 Milano",,,,
milano,OPERAZIONE SAN GENNARO,restaurant,pizza,"Piazza Fidia 19, 20159 Milano",,http://operazionesangennaro.it/,,
milano,Ristorante Pizzeria Segrino,restaurant,pizza,"Via Alserio 30, 20159 Milano",,,,
milano,Pizzeria Il Faraone,restaurant,pizza,"Via Orti 7,  Milano",+39 327 6293637,http://www.pizzeriailfaraone.com/,,
milano,Grani & Braci,restaurant,italian;pizza;steak_house,"Via Carlo Farini , 20154 Milano",+39 02 36637422,http://www.graniebraci.it/it/ristorante-pizzeria-steak-house-milano,info@graniebraci.it,
milano,Bonci,restaurant,pizza,"Via Nicola Piccinni 3, 20121 Milano",,https://boncipizzainteglia.it/,,
milano,Pizzeria San Paolo,restaurant,pizza,Milano,,,,
milano,Pizzeria Totò,fast_food,pizza,"Via Asilo 8, 20052 Vignate",,,,
milano,Pizzeria Gemelli,restaurant,pizza,Milano,,,,
milano,Pizzeria Pisar,restaurant,pizza,Milano,,,,
milano,Tourlé Pizza Food & Fun,restaurant,pizza,"Viale della Repubblica 27, 20077 Melegnano",,,,
milano,Primafila,fast_food,pizza,"Via Milano 20,  Milano",,,,
