citta,nome,amenity,cuisine,indirizzo,telefono,sito,email_osm,email_sito
roma,Pizzeria ai Marmi,restaurant,pizza,"Viale di Trastevere 53, 00153 Roma",+39 06 5800919,http://m.facebook.com/aimarmi,,
roma,Sichuan Haozi,restaurant,chinese,"Via di San Martino ai Monti 33c, 00184 Roma",+39 06 481 4425,,,
roma,Dar filettaro a Santa Barbara,restaurant,italian,"Largo dei Librari 88, 00186 Roma",+39 06 6864018,,,
roma,Al Peperoncino,restaurant,pizza;steak_house,"Via Ostiense 369/375, 00146 Roma",+39 06 5410192,https://alpeperoncino.net/,,
roma,Rosati,restaurant,,Roma,,,,
roma,Trattoria Ada e Mario,restaurant,italian,"Circonvallazione Appia 81, 00179 Roma",,,,
roma,Gustosando,restaurant,italian_pizza;italian,Roma,,,,
roma,Sa Posada,restaurant,sardinian,"Via Elvia Recina 36, 00183 Roma",+39 06 7002923,http://www.saposada.it/,saposadasnc@gmail.com,
roma,Pizzeria Formula 1,restaurant,pizza,"Via degli Equi 13, 00185 Roma",+39 06 06 445 3866,,,
roma,Da Francesco,restaurant,pasta,"Piazza del Fico 29, 00186 Roma",+39 06 686 4009,https://www.dafrancesco.it,info@dafrancesco.it,
roma,Pizzeria Nuovo Mondo,restaurant,pizza,"Via Amerigo Vespucci 9;11;13;15;17, 00153 Roma",+39 06 5746004,,,
roma,Le Streghe,restaurant,steak_house;italian,"Via Tuscolana 643, 00175 Roma",+39 06 7674777,https://www.ristorantelestreghe.it/,,
roma,Mok,restaurant,,"Piazza Fiume 77, 00198 Roma",+39 06 84241134,,mail@mokcoffeebar.com,
roma,HanCook Ristorante Coreano Roma (한쿡),restaurant,korean,"Via Taranto 84, 00182 Roma",,https://instagram.com/ristorante_hancook,,
roma,T-Bone Station,restaurant,steak_house,"Via Flaminia 527,  Roma",+39 06 333 3297,https://www.t-bone.it/,,
roma,Casa Claudia Jazz and Garden,restaurant,,"Via Nomentana 414, 00141 Roma",+39 06 86898839,https://www.casaclaudia.it/,info@casaclaudia.it,
roma,Mangianapoli,restaurant,pizza,"Via Egerio Levio 28, 00174 Roma",+39 06 76966136,http://www.mangianapoli.it/ristorante/tuscolano,info@mangianapoli.it,
roma,Sergio e Serra,restaurant,regional,Roma,,,,
roma,Mare Blu,restaurant,chinese,Roma,,,,
roma,Pot Pourri,restaurant,pizza,Roma,,,,
roma,Tandoori,restaurant,indian,"Via del Pigneto 193, 00176 Roma",+39 06 97610172,http://www.tigertandoori.com,,
roma,Ar Buchetto,restaurant,italian,"Circonvallazione Appia 44, 00179 Roma",,,,
roma,Trattoria Zampagna,restaurant,regional,"Via Ostiense 179, 00154 Roma",+39 06 5742306,,,
roma,Cacio e pepe,restaurant,italian;local,"Via Giuseppe Avezzana 11, 00195 Roma",+39063217268,https://trattoriacacioepepeprati.com,,
roma,Antico Falcone,restaurant,Romana,Roma,,,,
roma,Arco bistrot,restaurant,italian;pizza,"Via dell'Arco di Travertino 44, 00178 Roma",,,,
roma,Nuraghe Sardo,restaurant,,Roma,,,,
roma,La Locanda del Borgo,restaurant,,Roma,+39 06 41400352,https://www.lalocandadelborgo.com,info@lalocandadelborgo.com,
roma,Peperoncino Rosso,restaurant,,Roma,,,,
roma,Ristorante la Torre,restaurant,italian,"Via Padre Lino da Parma 1, 00156 Roma",+39 06 41219290,,,
roma,'O Masto 3 - Al Vesuvio,restaurant,pizza,"Via Francesco Passino 19/21, 00154 Roma",+39 06 5137359,,,
roma,Sushi Kyo,restaurant,japanese,"Piazzale Roberto Ardigò 35, 00142 Roma",+39 06 59603470,https://www.ristorantekyo.com/,,
roma,La Caraffa,restaurant,fish,"Via Giovanni Villani 44, 00179 Roma",,,,
roma,Hang Zhou,restaurant,chinese,"Via Principe Eugenio 82, 00185 Roma",+39 06 4872732,,,
roma,Siciliainbocca,restaurant,regional,"Via Flaminia 390, 00196 Roma",+39 06 3240187,https://www.siciliainboccaflaminio.com/,,
roma,Lo Sgobbone,restaurant,italian,"Via dei Podesti 8-10, 00196 Roma",,,,
roma,Da Domenico,restaurant,regional,Roma,,,,
roma,Il Baffetto,restaurant,pizza,"Via del Governo Vecchio 114, 00186 Roma",+39 06 6861617,http://www.pizzeriabaffetto.it/,,
roma,NO Pizza Party,restaurant,pizza,"Via Laurentina 794 b/c,  Roma",+39 06 45551505,,,
roma,Quattordicesimo Piano - Il Fungo,restaurant,regional,"Piazza Pakistan , 00144 Roma",+39 06 5921980,https://www.ristoranteilfungo.it/quattordicesimo-piano/,info@ristoranteilfungo.it,
roma,Pizzeria Er Panonto,restaurant,pizza,"Via Enrico Cravero 4-12,  Roma",+39 06 5135022,,,
roma,Otium,restaurant,regional;cocktails,"Via Roberto de Nobili 3b,  Roma",,https://www.ozium.it/,,
roma,Panorama 2001,restaurant,pizza,"5,  Roma",,,,
roma,La Fiorentina,restaurant,italian,"Via Andrea Doria 22, 00192 Roma",,http://lafiorentina.net/,,
roma,L'Orange - Restaurant Wine Bar,restaurant,italian,Roma,,,,
roma,Natalino e Maurizio,restaurant,,Roma,,,,
roma,L'Ortica,restaurant,,Roma,,,,
roma,l'Acquolina,restaurant,,Roma,,,,
roma,La gioia,restaurant,chinese,Roma,,,,
roma,O' Sole Mio,restaurant,,Roma,,,,
roma,Antica Trattoria Tritone,restaurant,italian,"Via dei Maroniti 1,  Roma",+39 06 6798181,http://www.trattoriatritone.com/,info@trattoriatritone.com,
roma,L'Archetto,restaurant,italian,"Via Carlo Livi 12, 00168 Roma",+39 06 35503130,,,
roma,Osteria dell'Angelo,restaurant,Romana,Roma,,,,
roma,L'insalatiera,restaurant,,Roma,,,,
roma,Mr.Zhao,restaurant,chinese,"Circonvallazione Trionfale 38, 00136 Roma",+39 06 39746769,https://mrzhao.it,,
roma,Hamerica's,restaurant,american,"Via Candia 1, 00196 Roma",,,,
roma,B.Ro Beef Bar,restaurant,burger,"Viale dei Parioli 79d, 00197 Roma",+39 06 3972 4232,https://brobeef.it/,,
roma,Molto,restaurant,,Roma,,,,
roma,Caminetto,restaurant,,Roma,,,,
roma,La Pariolina,restaurant,,Roma,,,,
roma,Ercoli 1928,restaurant,italian,"Viale Parioli 184, 00197 Roma",,https://ercoli1928.com/,,
roma,da Dino,restaurant,regional;italian,"Via dei Mille 10, 00185 Roma",+39 06 491425,,,
roma,Hard Rock Cafe,restaurant,american,Roma,,,,
roma,Dal Bolognese,restaurant,regional,"Piazza del Popolo 1, 00187 Roma",,,,
roma,New Town,restaurant,chinese,Roma,,,,
roma,Tiberino,restaurant,,"Via di Ponte Quattro Capi 17-18, 00186 Roma",+39 06 6877662,https://www.tiberinoroma.it/,,
roma,La tana dei ricci,restaurant,,"391, 00128 Roma",,,,
roma,"Pane ar pane, vino ar vino",restaurant,,"257, 00125 Roma",,,,
roma,La Fontanella Borghese,restaurant,,Roma,,,,
roma,Marcantonio,restaurant,italian,Roma,,,,
roma,La Villetta,restaurant,,Roma,,,,
roma,I Tre Fratelli,restaurant,pizza,Roma,,,,
roma,La Pimpaccia,restaurant,regional,"Via di Donna Olimpia 16, 00152 Roma",,,,
roma,La Piazzetta,restaurant,pizza;ice_cream,"Circonvallazione Trionfale 53,  Roma",+39 06 39736767,,,
roma,Old Wild West,restaurant,american,"Piazza dei Ravennati 7, 00122 Roma",+39 06 56305113,https://www.oldwildwest.it/ristoranti/old-wild-west-ostia-lido,ostia@oldwildwest.it,
roma,Il bar sotto al mare,restaurant,italian,Roma,,,,
roma,Pizza Roma,restaurant,pizza,Roma,,,,
roma,Girasole,restaurant,regional,"Via dei Minatori 23, 00143 Roma",+39 06 5020465,,,
roma,Tazio Restaurant,restaurant,,"Piazza della Repubblica 46, 00185 Roma",,https://exedra-roma.boscolohotels.com/restaurant-and-bar/tazio-restaurant-and-gallery-bar/,,
roma,The Burger Factory Roma,restaurant,,"Via Giovanni da Castel Bolognese 20, 00153 Roma",+39 06 3209 0588,https://the-burger-factory-roma.business.site/,,
roma,Aurora,restaurant,italian,Roma,,,,
roma,La Francescana,restaurant,italian,"Via Cassia 632, 00189 Roma",+39 06 3326 1952,,,
roma,Menù Fisso,restaurant,,"Via di Grottarossa 123, 00189 Roma",,,,
roma,Sport Cafè,restaurant,,"Via Cassia 999, 00189 Roma",+39 06 3031 5045,,,
roma,Kabab,restaurant,persian,"Via di Grottarossa 52, 00189 Roma",+390630310231,https://www.ristorantepersiano.it/,hparpinci@gmail.com,
roma,Il Casale Bicocca,restaurant,pizza,"Via del Casale Bicocca 48, 00143 Roma",,,,
roma,Doveralu,restaurant,,"Via Nazionale 215, 00184 Roma",,,,
roma,Osteria Margutta,restaurant,italian,"Via Margutta 82, 00187 Roma",,http://www.osteriamargutta.it/,,
roma,Il Margutta veggy food & art,restaurant,,"Via Margutta 118, 00187 Roma",+39 06 32650577,https://ilmargutta.bio,info@ilmargutta.bio,
roma,Taverna Parione,restaurant,italian,"Via di Parione 38, 00186 Roma",,,,
roma,Il Tempio di Apollo,restaurant,regional,Roma,+39 06 91712163,,,
roma,Derione,restaurant,,"Viale della Marina 57,  Roma",+39 06 9293 9563,https://derione.com/,,
roma,Sushi Jiro,restaurant,sushi,"Viale del Caravaggio 3, 00147 Roma",+39 065133424,http://www.wokrestaurant.it,,
roma,C'era una volta,restaurant,,Roma,,,,
roma,Il Chiodo Fisso,restaurant,,"Via della Balduina 138, 00136 Roma",,,,
roma,Oscar,restaurant,pizza;italian,"Via Gualtiero Serafino 16, 00136 Roma",+39 06 39725442,,,
roma,Grazia Deledda,restaurant,,Roma,,,,
roma,Palazzo Due,restaurant,,Roma,,,,
roma,Mò Mò Republic,restaurant,italian,"Piazza Carlo Forlanini 10,  Roma",+39 06 537 3087,momorepublic.it,,
roma,Cuccurucù,restaurant,italian,Roma,,,,
roma,Osteria del Gallo,restaurant,italian,"Vicolo di Montevecchio 27, 00186 Roma",+39 06 6873781,,,
roma,Trattoria Da Lucia,restaurant,italian,"Vicolo del Mattonato 2b, 00153 Roma",+39 06 5803601,http://www.trattoriadalucia.com,,
roma,Strega,restaurant,italian,"Piazza del Viminale 29, 00184 Roma",+39 06 485670,https://www.ristorantestrega.eu/,info@ristorantestrega.it,
roma,Washington,restaurant,pizza;burger;italian;regional,"Via del Viminale 4, 00184 Roma",,https://caffewashington.com,,
roma,Dim Sum,restaurant,chinese,"Via Otranto 15/17, 00192 Roma",+39 06 3701109,,,
roma,La Pace del Cervello,restaurant,,"Via dei Santi Quattro 63, 00184 Roma",,,,
roma,Zen Garden 2,restaurant,asian,"Via Ostiense 180, 00154 Roma",+39 06 5741174,,,
roma,Da Danilo,restaurant,,"Via Petrarca 13,  Roma",+39 06 77200111,https://www.trattoriadadanilo.com/,,
roma,Galilei,restaurant,,Roma,,,,
roma,Al Cavallino Bianco,restaurant,,"Via Emanuele Filiberto 27, 00185 Roma",,,,
roma,Pizzeria Romana da Giovanni,restaurant,pizza;regional,"Via Carlo Citerni 8, 00154 Roma",+39 06 5746305,,,
roma,Osteria29,restaurant,regional;italian;pizza,"Via Nino Taranto 27, 00125 Roma",,,,
roma,Osteria Palmira,restaurant,,"Via Abate Ugone 29, 00152 Roma",,https://www.osteriapalmira.it/,,
roma,L'insalata ricca,restaurant,regional;italian_pizza,"Piazza del Risorgimento , 00192 Roma",,,,
roma,Lo Scalino,restaurant,italian,Roma,+39 06 35501266,,,
roma,C'era una volta,restaurant,pizza,"Via Fabio Numerio 58,  Roma",,,,
roma,Ristorante Orientale Wok - Okura,restaurant,,"Via Francica , 00118 Roma",,,,
roma,Il Miraggio,restaurant,italian;pasta;pizza,"Vicolo Sciarra 59,  Roma",,,,
roma,l'Orso 80,restaurant,italian,Roma,+39066864904,,,
roma,Osteria all'alberone,restaurant,roman,"Via Francesco Valesio 5, 00179 Roma",+390678348586; +393387658750,www.osteriaallalberone.it,info@osteriaallalberone.it,
roma,Mi Noodles,restaurant,chinese;noodles,"Circonvallazione Appia 3, 00179 Roma",+39 06 0190 2410,,,
roma,Il ponte della ranocchia,restaurant,,Roma,,,,
roma,Da Cocco,restaurant,pizza,Roma,,,,
roma,Wang Xian Lou,restaurant,chinese,"Via del Viminale 5/a, 00184 Roma",+39 06 4821487,,,
roma,Il casale di Giulia,restaurant,,"Via di Pratica 201, 00128 Roma",+39 06 50576675,https://www.il-casaledigiulia.it/,,
roma,Pizzeria Dal Bersagliere,restaurant,pizza,"Via Gino Capponi 16,  Roma",+39 06 789909,,,
roma,Chizuru,restaurant,japanese,"Piazza dell'Alberone 11, 00181 Roma",,,,
roma,Reinbo,restaurant,japanese,"Via Tuscolana 226, 00181 Roma",,,,
roma,Il Torchio Sardo,restaurant,regional,"Via Fabio Numerio 30,  Roma",,,,
roma,da Riccardo,restaurant,regional;italian,"Vicolo dell'Annunziatella 60, 00142 Roma",+39 06 5032124,,,
roma,L'isola,restaurant,italian,"Via Assisi 144, 00181 Roma",,,,
roma,Old Wild West,restaurant,steak_house,"Viale della Civiltà del Lavoro 145,  Roma",+39 06 591 3284,oldwildwest.it,,
roma,Antica Posta,restaurant,,Roma,,,,
roma,Trattoria Fauro,restaurant,,"Via Ruggero Fauro 44,  Roma",,,,
roma,Ciccia & Bomba Ai Parioli S.R.L.,restaurant,,"Via Ruggero Fauro 2,  Roma",,,,
roma,Trattoria Pizzeria La Caravella,restaurant,italian,"Via degli Scipioni 32,  Roma",+39 06 39 72 61 61,,,
roma,Roadhouse,restaurant,steak_house,"Via Marsala 27, 00185 Roma",,,,
roma,Ni Hao,restaurant,chinese;japanese,"Via Vespasiano 15, 00192 Roma",+39 06 39723790,,,
roma,Okasan,restaurant,japanese,"Via Ostia 22, 00192 Roma",,,,
roma,Mikaku,restaurant,chinese,"Viale Furio Camillo 22, 00181 Roma",+39 06 86726387,https://mikakuroma.it/,,
roma,Sakura Ramen,restaurant,japanese,"Viale Furio Camillo 7, 00181 Roma",,,,
roma,FiloDiLatte,restaurant,,"Viale Furio Camillo 41, 00181 Roma",,https://filodilatteroma.it/,filodilatte@gmail.com,
roma,La zingarella,restaurant,italian,"Via Gino Capponi 61,  Roma",,,,
roma,Grazia & Graziella,restaurant,italian,"Piazza Scipione Ammirato 7,  Roma",+39 0689370070,https://graziaegraziella.it/,,
roma,Checco dello Scapicollo,restaurant,regional;italian,"Via dei Genieri 5, 00143 Roma",+39 06 5010251,https://checcoscapicollo.com/,info@checcoscapicollo.com,
roma,La Pace,restaurant,chinese,"Via Madonna dei Monti 53-56,  Roma",,,,
roma,Le Bistrot,restaurant,,"Via delle Sette Chiese 160, 00145 Roma",+39 06 5128991,,,
roma,Osteria der Belli,restaurant,italian,"Piazza di Sant'Apollonia 9, 00153 Roma",,,,
roma,Xin Du,restaurant,chinese,"Viale Ventuno Aprile 13b, 00162 Roma",+39 06 8611036,,,
roma,Città del Drago,restaurant,chinese,"Piazza Cesare Baronio 4,  Roma",+39 06 78346979,,,
roma,The View,restaurant,italian,Roma,,,,
roma,Officina Alimentare San Paolo,restaurant,,Roma,,,,
roma,Antica Trattoria Angelino,restaurant,,"Piazza Margana 37, 00186 Roma",+390669920637;+390623488059,,info.angelino36@gmail.com,
roma,Trattoria Pigneto,restaurant,regional,"Via del Pigneto 68, 00176 Roma",,,,
roma,Er Mattatoio,restaurant,burger,"Via delle Sirene 19,  Roma",,,,
roma,Old Bear,restaurant,italian,"Via dei Gigli d'Oro 3, 00186 Roma",,https://www.oldbear.it/,,
roma,Lo Zozzone,restaurant,,"Via del Teatro Pace 32,  Roma",,,,
roma,Mada Fish,restaurant,italian,"Via San Giorgio Morgeto 179, 00173 Roma",+39 06 89530844,,mada.fishrestaurant@gmail.com,
roma,Bin Hai,restaurant,chinese,Roma,,,,
roma,Il peperoncino dispettoso,restaurant,italian,Roma,,,,
roma,Il Grottino,restaurant,,Roma,,,,
roma,Happy Hours,restaurant,pizza,"Via di Torrevecchia 607,  Roma",,,,
roma,Ristorante Da Giuliana,restaurant,italian,"Via degli Scipioni 16, 00192 Roma",,www.dagiuliana.it,,
roma,Prelibato - cucina in piazza,restaurant,seafood,"Piazza Sant'Eurosia 4, 00154 Roma",+39 366 5937508,,,
roma,Est Est Est!,restaurant,pizza,"Via Genova 32, 00184 Roma",+39 06 4881107,,,
roma,Da Candido,restaurant,italian,Roma,,,,
roma,L'Insalata Ricca,restaurant,italian,Roma,+39 06 5881301,www.linsalataricca.it,,
roma,L'angolo del Gusto,restaurant,pizza,"Viale Francesco Caltagirone 331,  Roma",+39 06 2218 4005,,,
roma,Gli Antenati,restaurant,,"Viale Francesco Caltagirone 273, 00132 Roma",+39 0622184039,,,
roma,Da Baffo,restaurant,regional;pizza,"Piazza Federico Marcello Lante 35, 00147 Roma",+39 06 5126190,https://www.dabaffohostariapizzeria.it,,
roma,Pizzeria Gino e Salvatore,restaurant,pizza,"Via Salvatore di Giacomo 87,  Roma",+39 06 59605065,,,
roma,Hostaria Isidoro Al Colosseo,restaurant,,Roma,,,,
roma,Da Bucatino,restaurant,italian;italian_pizza,"Via Luca della Robbia 84;86, 00153 Roma",+39 065746886,https://www.dabucatino.it/,info@dabucatino.it,
roma,Angelino ai Fori,restaurant,pizza;italian;regional,"Largo Corrado Ricci 40,  Roma",,,,
roma,Pizzeria Imperiale,restaurant,pizza,"Largo Corrado Ricci 37,  Roma",,,,
roma,Ombre Rosse,restaurant,,"Piazza di Sant'Egidio 12;13,  Roma",+39 06 5884155,https://ombrerosseintrastevere.it/,,
roma,Ippokrates,restaurant,greek,"Via Piave 20,  Roma",,https://www.ippokrates.it/,,
roma,Il Podista,restaurant,pizza,"Via Tiburtina 224-226,  Roma",+39 06 44700967,,,
roma,Al giardino del gatto e la volpe,restaurant,italian,Roma,,,,
roma,Pizzeria Caselli,restaurant,italian,Roma,,,,
