citta,nome,amenity,cuisine,indirizzo,telefono,sito,email_osm,email_sito
torino,Bar ristorante Masino,restaurant,,Torino,,,,
torino,Lo scugnizzo,restaurant,pizza,"Corso San Maurizio 34, 10124 Torino",+39 011 8390312,https://scugnizzotorino.it/,,
torino,Mamma mia,restaurant,pizza,"Corso San Maurizio 32, 10124 Torino",+39 011 888309,http://www.pizzeriamammamiatorino.it/,,
torino,Cocopazzo,restaurant,pizza,"Corso San Maurizio 55, 10124 Torino",+39 011 8127823,,,
torino,Blue Moon,restaurant,,Torino,,,,
torino,Le Rondini,restaurant,pizza;italian;fish,"Piazza della Repubblica 1bis, 10132 Torino",+39 011 4338743,https://www.le-rondini.net/,info@le-rondini.net,
torino,Il Pirata,restaurant,pizza,"Via Francesco Cigna 23, 10100 Torino",+39 011 5211660,,,
torino,L'Oasis,restaurant,pizza,"Corso Tortona 26, 10153 Torino",+39 011 8177640,,,
torino,La Gaia Scienza,restaurant,,"Via Guastalla 22, 10124 Torino",+39 011 8123821,http://www.lagaiascienza.com/,,
torino,Il Santo,restaurant,pizza,"Corso San Maurizio 23, 10124 Torino",+39 011 8600072,,,
torino,Dong Hua,restaurant,chinese,"Corso San Maurizio 25, 10124 Torino",+39 011 888064,,,
torino,Trattoria Toscana Ala,restaurant,tuscan;italian,"Via Santa Giulia 24d, 10124 Torino",+39 011 8174778,https://trattoria-ala.it/,info@trattoria-ala.it,
torino,Habanero,restaurant,mexican,Torino,,,,
torino,Mezcal,restaurant,mexican,"Strada Settimo 75, 10156 Torino",,,,
torino,Alla lettera,restaurant,pizza,"Via Giuseppe Mazzini 12, 10123 Torino",+39 011 882626,http://allaletteratorino.it/,,
torino,Cin Cin,restaurant,chinese,"Corso Giambattista Beccaria 2, 10122 Torino",,,,
torino,Anema e Core,restaurant,pizza,"Corso Moncalieri ,  Torino",,,,
torino,Pizzeria da Fischetto,restaurant,pizza,"Via Nicola Porpora 55, 10154 Torino",,,,
torino,Sunphilao,restaurant,,Torino,,,,
torino,Il Bastian Contrario,restaurant,,Torino,,,,
torino,Locus,restaurant,regional,"Via Monginevro 63, 10056 Oulx",+39 0122 830926,,,
torino,Le grand bouc,restaurant,,Torino,,,,
torino,Tenuta Canta,restaurant,regional,"Strada Vicinale Canta 65,  Volvera",,,,
torino,Ristorante Le Cascine,restaurant,italian,Torino,,,,
torino,Il Mulino di Mattie,restaurant,,Torino,,,,
torino,Costello,restaurant,,Torino,,,,
torino,8 e 3/4,restaurant,,"Piazza Solferino 8c,  Torino",,,,
torino,Agriturismo La Schiavenza,restaurant,regional,Torino,+39 0125 687 541,https://www.laschiavenza.it/,laschiavenza@bybagnod.it,
torino,Pizza 33 Giri,restaurant,pizza,Torino,,,,
torino,La Coche,restaurant,regional,Torino,,,,
torino,Chesal 1805,restaurant,,Torino,,,,
torino,Il Gusto - Pizzeria & Cucina & Panini,restaurant,fish;pizza;burger;sandwich,Torino,+39 338 2499124,,,
torino,La Capannina,restaurant,,Torino,,,,
torino,Orso Bianco,restaurant,,Torino,,,,
torino,Capanna Kind,restaurant,,Torino,,,,
torino,Bar Ristorante Cucinatipica,restaurant,,Torino,,,,
torino,Am Pias,restaurant,,Torino,,,,
torino,La Betulla,restaurant,,Torino,,,,
torino,Antica Cappella,restaurant,,Torino,,,,
torino,Totò e Macario,restaurant,pizza,Torino,,,,
torino,Chalet del Lago,restaurant,pizza,Torino,,,,
torino,La Bella Dormiente,restaurant,,Torino,,,,
torino,Il 52,restaurant,pizza,Torino,,,,
torino,L'idea,restaurant,italian;pizza,"1, 10010 Piverone",,,,
torino,La riva,restaurant,,Torino,,,,
torino,Il paradiso delle Rane,restaurant,,Torino,,,,
torino,Pizzeria Capri,restaurant,,Torino,,,,
