nome,indirizzo,telefono,sito,email,rating,recensioni
Ristorante Galleria,"Galleria Vittorio Emanuele II, 75, 20121 Milano MI, Italia",02 8646 4912,https://ristorantegalleria.it/,info@ristorantegalleria.it,4.5,6206
Al Cantinone,"Via Agnello, 19, 20121 Milano MI, Italia",02 863015,http://www.alcantinone.it/,info@alcantinone.it,4.1,3841
Risoelatte Duomo,"Via Manfredo Camperio, 6, 20123 Milano MI, Italia",02 3983 1040,https://risoelatte.com/,info@risoelatte.it; info@osteriarisoelatte.it,4.4,3059
Maio Restaurant Milano,"Via Santa Radegonda, 3, 20121 Milano MI, Italia",02 885 2455,http://www.maiorestaurant.com/,,4,1902
miscusi | pasta fresca - Milano Centrale,"Piazza S. Camillo de Lellis, 20124 Milano MI, Italia",02 5003 0990,https://www.miscusi.com/?utm_source=google&utm_medium=googlemaps&utm_campaign=linkgmb&utm_content=I005,,4.3,9230
Trattoria la vecchia guardia,"Via della Commenda, 21, 20122 Milano MI, Italia",02 3663 1188,https://www.lavecchiaguardia.it/,,4.5,1280
The Roof Milano,"Piazza Giuseppe Missori, 1, 20123 Milano MI, Italia",,https://www.theroofmilano.com/,info@theroofmilano.com,4.2,2359
Ristorante Vista Duomo,"P.za del Duomo, 17/A, 20123 Milano MI, Italia",02 0996 2671,https://ristorantevistaduomo.it/,info@ristorantevistaduomo.it,4.1,913
Nerino Dieci Trattoria,"Via Nerino, 10, 20123 Milano MI, Italia",02 3983 1019,http://www.nerinodieci.it/,info@nerinodieci.it,4.6,2883
SlowSud Duomo,"Via delle Asole, 4, 20123 Milano MI, Italia",02 7200 2595,https://slow-sud.it/,,4.3,3290
Sugo Milano - Duomo,"Via dell'Unione, 11, 20123 Milano MI, Italia",342 012 8808,https://prenotazioni.taac-app.com/sugo,,4.6,1030
La Locanda del Gatto Rosso,"Via Ugo Foscolo, 3, 20121 Milano MI, Italia",02 7202 2411,http://www.lalocandadelgattorosso.it/,bistrot@lalocandadelgattorosso.it; info@lalocandadelgattorosso.it,4,3112
Luna Rossa,"Via Broletto, 26, 20121 Milano MI, Italia",02 874739,,,4.5,4658
Trattoria de la Trebia Milano,"Via Trebbia, 32, 20135 Milano MI, Italia",02 551 3380,http://www.trattorialatrebia.it/,info@trattorialatrebia.it,4.6,2024
Cesarino,"Via Pattari, 2, 20122 Milano MI, Italia",,https://www.cesarinomilano.it/,,4.8,2682
